Geolocation,Commodity,Date,CPI
bangsamoro autonomous region in muslim mindanao (barmm),rice,2020-01-01,89.3685889529795
bangsamoro autonomous region in muslim mindanao (barmm),rice,2020-02-01,88.9853373784783
bangsamoro autonomous region in muslim mindanao (barmm),rice,2020-03-01,89.4454641094984
bangsamoro autonomous region in muslim mindanao (barmm),rice,2020-04-01,91.1503651084527
bangsamoro autonomous region in muslim mindanao (barmm),rice,2020-05-01,93.3228409124066
bangsamoro autonomous region in muslim mindanao (barmm),rice,2020-06-01,94.4679319497483
bangsamoro autonomous region in muslim mindanao (barmm),rice,2020-07-01,94.2040581570598
bangsamoro autonomous region in muslim mindanao (barmm),rice,2020-08-01,92.659785425589
bangsamoro autonomous region in muslim mindanao (barmm),rice,2020-09-01,93.1483271472123
bangsamoro autonomous region in muslim mindanao (barmm),rice,2020-10-01,92.93597932882
bangsamoro autonomous region in muslim mindanao (barmm),rice,2020-11-01,92.5467177544896
bangsamoro autonomous region in muslim mindanao (barmm),rice,2020-12-01,92.4919690029099
bangsamoro autonomous region in muslim mindanao (barmm),rice,2021-01-01,92.1145750109898
bangsamoro autonomous region in muslim mindanao (barmm),rice,2021-02-01,92.3311367638616
bangsamoro autonomous region in muslim mindanao (barmm),rice,2021-03-01,93.138927727164
bangsamoro autonomous region in muslim mindanao (barmm),rice,2021-04-01,92.7765637216342
bangsamoro autonomous region in muslim mindanao (barmm),rice,2021-05-01,92.8059658297902
bangsamoro autonomous region in muslim mindanao (barmm),rice,2021-06-01,92.811396685558
bangsamoro autonomous region in muslim mindanao (barmm),rice,2021-07-01,94.0854086521735
bangsamoro autonomous region in muslim mindanao (barmm),rice,2021-08-01,94.5094343921158
bangsamoro autonomous region in muslim mindanao (barmm),rice,2021-09-01,96.0096564005817
bangsamoro autonomous region in muslim mindanao (barmm),rice,2021-10-01,95.9854844697352
bangsamoro autonomous region in muslim mindanao (barmm),rice,2021-11-01,96.0014072542656
bangsamoro autonomous region in muslim mindanao (barmm),rice,2021-12-01,95.6419090176708
bangsamoro autonomous region in muslim mindanao (barmm),rice,2022-01-01,97.2841286965203
bangsamoro autonomous region in muslim mindanao (barmm),rice,2022-02-01,97.6748248232649
bangsamoro autonomous region in muslim mindanao (barmm),rice,2022-03-01,98.2598359594487
bangsamoro autonomous region in muslim mindanao (barmm),rice,2022-04-01,98.6361563908281
bangsamoro autonomous region in muslim mindanao (barmm),rice,2022-05-01,98.662537063829
bangsamoro autonomous region in muslim mindanao (barmm),rice,2022-06-01,99.0755989324868
bangsamoro autonomous region in muslim mindanao (barmm),rice,2022-07-01,99.4911680900848
bangsamoro autonomous region in muslim mindanao (barmm),rice,2022-08-01,100.409717423196
bangsamoro autonomous region in muslim mindanao (barmm),rice,2022-09-01,100.94368820621
bangsamoro autonomous region in muslim mindanao (barmm),rice,2022-10-01,100.875841170333
bangsamoro autonomous region in muslim mindanao (barmm),rice,2022-11-01,101.017106992962
bangsamoro autonomous region in muslim mindanao (barmm),rice,2022-12-01,100.665211514386
bangsamoro autonomous region in muslim mindanao (barmm),rice,2023-01-01,100.978525787218
bangsamoro autonomous region in muslim mindanao (barmm),rice,2023-02-01,101.022216836934
bangsamoro autonomous region in muslim mindanao (barmm),rice,2023-03-01,100.631122402639
bangsamoro autonomous region in muslim mindanao (barmm),rice,2023-04-01,100.380572337651
bangsamoro autonomous region in muslim mindanao (barmm),rice,2023-05-01,100.586745681822
bangsamoro autonomous region in muslim mindanao (barmm),rice,2023-06-01,102.711040293621
bangsamoro autonomous region in muslim mindanao (barmm),rice,2023-07-01,103.718256064951
bangsamoro autonomous region in muslim mindanao (barmm),rice,2023-08-01,107.736621956286
bangsamoro autonomous region in muslim mindanao (barmm),rice,2023-09-01,121.405813820826
bangsamoro autonomous region in muslim mindanao (barmm),rice,2023-10-01,120.411952860319
bangsamoro autonomous region in muslim mindanao (barmm),rice,2023-11-01,121.604358018083
bangsamoro autonomous region in muslim mindanao (barmm),rice,2023-12-01,122.401321749205
bangsamoro autonomous region in muslim mindanao (barmm),rice,2024-01-01,122.358046938188
bangsamoro autonomous region in muslim mindanao (barmm),rice,2024-02-01,124.091852129892
bangsamoro autonomous region in muslim mindanao (barmm),rice,2024-03-01,126.38496152534
bangsamoro autonomous region in muslim mindanao (barmm),rice,2024-04-01,125.960634858611
bangsamoro autonomous region in muslim mindanao (barmm),rice,2024-05-01,124.596974915678
bangsamoro autonomous region in muslim mindanao (barmm),rice,2024-06-01,123.685224418126
bangsamoro autonomous region in muslim mindanao (barmm),rice,2024-07-01,123.567675801208
bangsamoro autonomous region in muslim mindanao (barmm),rice,2024-08-01,122.124823649406
bangsamoro autonomous region in muslim mindanao (barmm),rice,2024-09-01,121.941093905768
bangsamoro autonomous region in muslim mindanao (barmm),rice,2024-10-01,121.512925663849
bangsamoro autonomous region in muslim mindanao (barmm),rice,2024-11-01,121.39628710833
bangsamoro autonomous region in muslim mindanao (barmm),rice,2024-12-01,120.715664411874
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-01-01,110.804575890642
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-02-01,105.776168022118
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-03-01,107.900764071549
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-04-01,110.082527912857
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-05-01,109.720274831242
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-06-01,103.863209602489
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-07-01,95.4055122929084
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-08-01,96.4045252857186
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-09-01,96.6869561975617
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-10-01,96.5327528631484
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-11-01,97.231688733395
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-12-01,96.2558378401699
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-01-01,96.3241749284537
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-02-01,96.2213727055116
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-03-01,97.2827368736656
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-04-01,98.6135032822649
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-05-01,98.4716966309413
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-06-01,98.4401141581388
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-07-01,98.5015519699111
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-08-01,98.8101189766768
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-09-01,98.912921199619
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-10-01,98.6559156422635
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-11-01,98.912921199619
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-12-01,98.5531134193212
