Geolocation,Commodity,Date,Price,Commodity_Type
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2020-01-01,8.27,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2020-02-01,8.45,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2020-03-01,8.45,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2020-04-01,7.02,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2020-05-01,8.81,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2020-06-01,10.32,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2020-07-01,9.97,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2020-08-01,10.45,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2020-09-01,9.71,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2020-10-01,7.26,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2020-11-01,7.43,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2020-12-01,9.95,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2021-01-01,10.23,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2021-02-01,11.6,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2021-03-01,12.23,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2021-04-01,12.5,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2021-05-01,12.65,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2021-06-01,12.64,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2021-07-01,23.81,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2021-08-01,24.02,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2021-09-01,24.17,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corngrain [maize] white, matured",2021-10-01,13.17,corn
