Geolocation,Commodity,Date,Area_Harvested_in_Hectares,Commodity_Type
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-01-01,33861.333333333336,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-02-01,33861.333333333336,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-03-01,33861.333333333336,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-04-01,15178.08,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-05-01,15178.08,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-06-01,15178.08,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-07-01,50543.05333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-08-01,50543.05333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-09-01,50543.05333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-10-01,22374.17,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-11-01,22374.17,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-12-01,22374.17,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-01-01,31871.100000000002,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-02-01,31871.100000000002,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-03-01,31871.100000000002,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-04-01,17931.546666666665,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-05-01,17931.546666666665,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-06-01,17931.546666666665,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-07-01,45077.333333333336,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-08-01,45077.333333333336,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-09-01,45077.333333333336,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-10-01,22096.416666666668,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-11-01,22096.416666666668,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-12-01,22096.416666666668,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-01-01,32216.333333333332,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-02-01,32216.333333333332,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-03-01,32216.333333333332,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-04-01,18381.01,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-05-01,18381.01,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-06-01,18381.01,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-07-01,44945.833333333336,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-08-01,44945.833333333336,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-09-01,44945.833333333336,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-10-01,22014.75,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-11-01,22014.75,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-12-01,22014.75,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-01-01,34323.200000000004,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-02-01,34323.200000000004,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-03-01,34323.200000000004,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-04-01,20120.963333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-05-01,20120.963333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-06-01,20120.963333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-07-01,46900.34,corn
