Geolocation,Commodity,Date,Price,Commodity_Type
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2020-01-01,28.27,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2020-02-01,28.4,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2020-03-01,29.26,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2020-04-01,29.38,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2020-05-01,29.5,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2020-06-01,29.88,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2020-07-01,30.24,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2020-08-01,30.24,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2020-09-01,30.49,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2020-10-01,30.49,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2020-11-01,30.12,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2020-12-01,29.69,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2021-01-01,29.57,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2021-02-01,29.57,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2021-03-01,29.57,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2021-04-01,29.57,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2021-05-01,29.57,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2021-06-01,29.5,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2021-07-01,29.38,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2021-08-01,29.38,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2021-09-01,29.38,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2021-10-01,29.38,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2021-11-01,29.38,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2021-12-01,29.38,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2022-01-01,29.38,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2022-02-01,29.38,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2022-03-01,29.24,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2022-04-01,29.49,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2022-05-01,29.63,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2022-06-01,29.63,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2022-07-01,30.0,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2022-08-01,30.38,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2022-09-01,30.31,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2022-10-01,30.31,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2022-11-01,30.31,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2022-12-01,30.94,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2023-01-01,32.0,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2023-02-01,32.0,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2023-03-01,32.0,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2023-04-01,31.13,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2023-05-01,31.13,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2023-06-01,30.5,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2023-07-01,31.5,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2023-08-01,31.75,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2023-09-01,32.25,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2023-10-01,32.13,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2023-11-01,31.13,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2023-12-01,31.63,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2024-01-01,31.0,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2024-02-01,30.63,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2024-03-01,30.13,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2024-04-01,30.5,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2024-05-01,30.38,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2024-06-01,30.38,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2024-07-01,30.88,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2024-08-01,30.56,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2024-09-01,29.63,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2024-10-01,29.5,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2024-11-01,29.13,corn
bangsamoro autonomous region in muslim mindanao (barmm),"corn grits, yellow, 1 kg",2024-12-01,29.0,corn
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2020-01-01,38.48,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2020-02-01,38.26,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2020-03-01,38.39,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2020-04-01,39.07,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2020-05-01,39.74,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2020-06-01,39.95,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2020-07-01,39.73,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2020-08-01,39.02,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2020-09-01,39.83,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2020-10-01,39.6,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2020-11-01,39.52,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2020-12-01,39.52,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2021-01-01,39.24,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2021-02-01,39.03,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2021-03-01,39.33,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2021-04-01,39.21,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2021-05-01,39.19,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2021-06-01,39.16,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2021-07-01,39.49,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2021-08-01,39.31,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2021-09-01,40.78,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2021-10-01,40.43,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2021-11-01,40.16,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2021-12-01,39.62,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2022-01-01,40.03,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2022-02-01,40.12,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2022-03-01,40.62,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2022-04-01,40.63,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2022-05-01,40.68,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2022-06-01,40.92,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2022-07-01,41.34,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2022-08-01,41.2,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2022-09-01,41.75,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2022-10-01,41.47,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2022-11-01,41.53,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2022-12-01,41.43,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2023-01-01,41.71,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2023-02-01,41.84,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2023-03-01,41.85,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2023-04-01,41.92,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2023-05-01,41.98,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2023-06-01,42.49,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2023-07-01,42.71,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2023-08-01,44.12,rice
bangsamoro autonomous region in muslim mindanao (barmm),"rice, regular-milled, 1 kg",2023-09-01,51.96,rice
