Geolocation,Commodity,Date,Production_Volume_by_MetricTons,Commodity_Type
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-01-01,109387.24666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-02-01,109387.24666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-03-01,109387.24666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-04-01,46385.12333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-05-01,46385.12333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-06-01,46385.12333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-07-01,152263.98666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-08-01,152263.98666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-09-01,152263.98666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-10-01,71584.11,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-11-01,71584.11,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2020-12-01,71584.11,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-01-01,121680.99333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-02-01,121680.99333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-03-01,121680.99333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-04-01,57491.44333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-05-01,57491.44333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-06-01,57491.44333333333,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-07-01,128645.63,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-08-01,128645.63,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-09-01,128645.63,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-10-01,71285.50666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-11-01,71285.50666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2021-12-01,71285.50666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-01-01,121374.15000000001,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-02-01,121374.15000000001,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-03-01,121374.15000000001,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-04-01,61399.12666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-05-01,61399.12666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-06-01,61399.12666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-07-01,128602.59666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-08-01,128602.59666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-09-01,128602.59666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-10-01,69386.66666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-11-01,69386.66666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2022-12-01,69386.66666666667,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-01-01,121224.90333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-02-01,121224.90333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-03-01,121224.90333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-04-01,68091.06333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-05-01,68091.06333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-06-01,68091.06333333334,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-07-01,139848.91666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-08-01,139848.91666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-09-01,139848.91666666666,corn
bangsamoro autonomous region in muslim mindanao (barmm),corn,2023-10-01,81556.76333333334,corn
