Geolocation,Commodity,Date,Price,Commodity_Type
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2020-01-01,32.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2020-02-01,32.8,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2020-03-01,33.54,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2020-04-01,34.8,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2020-05-01,34.8,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2020-06-01,34.8,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2020-07-01,34.2,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2020-08-01,34.49,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2020-09-01,34.86,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2020-10-01,34.86,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2020-11-01,33.51,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2020-12-01,30.75,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2021-01-01,30.6,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2021-02-01,31.95,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2021-03-01,30.8,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2021-04-01,32.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2021-05-01,32.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2021-06-01,32.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2021-07-01,32.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2021-08-01,32.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2021-09-01,32.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2021-10-01,35.09,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2021-11-01,35.4,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2021-12-01,35.4,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2022-01-01,36.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2022-02-01,36.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2022-03-01,36.77,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2022-04-01,37.31,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2022-05-01,37.71,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2022-06-01,37.94,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2022-07-01,38.75,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2022-08-01,38.75,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2022-09-01,38.75,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2022-10-01,38.75,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2022-11-01,38.75,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2022-12-01,38.75,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2023-01-01,39.31,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2023-02-01,40.7,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2023-03-01,39.25,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2023-04-01,39.4,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2023-05-01,39.03,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2023-06-01,38.96,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2023-07-01,39.34,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2023-08-01,43.13,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2023-09-01,44.93,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2023-10-01,44.23,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2023-11-01,43.93,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2023-12-01,44.18,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2024-01-01,44.45,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2024-02-01,43.91,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2024-03-01,42.85,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2024-04-01,42.64,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2024-05-01,42.84,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2024-06-01,42.88,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2024-07-01,42.7,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2024-08-01,42.49,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2024-09-01,42.3,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2024-10-01,42.26,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2024-11-01,41.36,rice
bangsamoro autonomous region in muslim mindanao (barmm),regular milled rice (rmr),2024-12-01,40.85,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2020-01-01,45.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2020-02-01,45.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2020-03-01,45.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2020-04-01,45.2,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2020-05-01,45.2,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2020-06-01,45.2,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2020-07-01,43.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2020-08-01,43.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2020-09-01,43.62,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2020-10-01,43.62,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2020-11-01,42.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2020-12-01,40.55,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2021-01-01,40.4,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2021-02-01,41.68,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2021-03-01,40.2,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2021-04-01,41.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2021-05-01,40.32,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2021-06-01,40.32,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2021-07-01,40.32,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2021-08-01,40.32,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2021-09-01,40.32,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2021-10-01,43.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2021-11-01,43.22,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2021-12-01,43.37,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2022-01-01,44.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2022-02-01,44.0,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2022-03-01,44.77,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2022-04-01,45.32,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2022-05-01,46.06,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2022-06-01,46.49,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2022-07-01,47.35,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2022-08-01,47.35,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2022-09-01,47.35,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2022-10-01,47.35,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2022-11-01,47.35,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2022-12-01,47.35,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2023-01-01,47.11,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2023-02-01,47.49,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2023-03-01,44.51,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2023-04-01,44.8,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2023-05-01,44.5,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2023-06-01,44.8,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2023-07-01,45.16,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2023-08-01,49.49,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2023-09-01,52.92,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2023-10-01,51.92,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2023-11-01,51.3,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2023-12-01,52.19,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2024-01-01,52.88,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2024-02-01,52.55,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2024-03-01,52.31,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2024-04-01,52.33,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2024-05-01,52.3,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2024-06-01,52.3,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2024-07-01,51.95,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2024-08-01,51.29,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2024-09-01,50.66,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2024-10-01,50.49,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2024-11-01,50.07,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice premium,2024-12-01,49.7,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice special,2020-01-01,50.2,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice special,2020-02-01,50.2,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice special,2020-03-01,50.2,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice special,2020-04-01,50.11,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice special,2020-05-01,50.17,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice special,2020-06-01,50.2,rice
bangsamoro autonomous region in muslim mindanao (barmm),rice special,2020-07-01,48.0,rice
