"Ecosystem/Croptype","Geolocation","2020 Quarter 1","2020 Quarter 2","2020 Quarter 3","2020 Quarter 4","2021 Quarter 1","2021 Quarter 2","2021 Quarter 3","2021 Quarter 4","2022 Quarter 1","2022 Quarter 2","2022 Quarter 3","2022 Quarter 4","2023 Quarter 1","2023 Quarter 2","2023 Quarter 3","2023 Quarter 4","2024 Quarter 1","2024 Quarter 2","2024 Quarter 3","2024 Quarter 4"
"Irrigated Palay","..CORDILLERA ADMINISTRATIVE REGION (CAR)",8259.18,24944.36,23108.61,24620.25,9010.00,27367.81,15407.60,28762.00,7129.62,27324.81,14452.90,30576.50,7156.38,27324.21,13702.40,30520.98,7153.65,25570.00,13126.54,28693.16
"Irrigated Palay","..REGION I (ILOCOS REGION)",67586.00,34062.00,32401.00,149567.00,66220.00,38644.00,30301.00,149318.00,66582.24,36860.35,32105.00,148111.76,65278.40,36755.00,32470.67,151545.68,63616.71,36325.13,32256.51,151186.00
"Irrigated Palay","..REGION II (CAGAYAN VALLEY)",110896.00,157416.00,69828.00,188265.00,112302.00,163894.00,80304.00,187977.00,110076.00,170926.00,87489.69,181440.75,116106.01,162591.40,96912.00,178076.00,138162.84,138252.00,91381.00,178678.37
"Irrigated Palay","..REGION III (CENTRAL LUZON)",139380.45,186755.15,63286.38,270178.12,144479.27,184179.00,73041.70,281659.52,151817.19,187298.70,64899.62,271867.30,169323.00,184739.61,73429.31,239169.55,152234.23,179251.04,71456.25,246180.18
"Irrigated Palay","..REGION IV-A (CALABARZON)",15055.39,25499.61,7450.57,28193.89,16668.33,26001.00,8948.35,28817.39,16808.00,25705.06,8444.00,27452.05,16351.38,27587.25,8451.00,30311.64,14437.60,27240.49,6908.42,20832.93
"Irrigated Palay","..MIMAROPA REGION",45504.00,44041.00,20640.00,91671.60,48236.00,47506.00,22620.70,93444.30,48016.00,44261.76,23526.87,98181.90,46179.60,45054.19,24862.87,101013.88,43647.74,43528.49,22629.02,104030.83
"Irrigated Palay","..REGION V (BICOL REGION)",42657.00,63927.00,43901.00,72823.46,47344.00,66424.22,44021.90,73921.20,44901.74,64222.68,45108.51,74607.40,44639.19,63563.22,45403.66,74201.07,45596.85,62385.36,44303.92,71734.69
"Irrigated Palay","..REGION VI (WESTERN VISAYAS)",84250.00,23023.00,93346.00,92089.00,85616.00,28140.00,100558.00,82927.00,86838.00,25947.05,104760.00,81602.77,88734.00,22959.00,93255.00,95796.00,89295.00,19778.65,54911.00,94515.00
"Irrigated Palay","..REGION VII (CENTRAL VISAYAS)",17631.00,10629.00,4829.00,25344.00,19744.00,11348.00,6070.00,24325.00,17219.00,7555.92,6563.87,26067.00,16929.00,12579.00,7458.00,25937.00,19891.00,10692.75,4763.00,28670.00
"Irrigated Palay","..REGION VIII (EASTERN VISAYAS)",29938.00,40313.00,14546.00,37374.00,30086.21,30044.00,27340.12,34052.00,30734.00,27051.93,25130.71,35733.71,31352.00,26199.00,25338.00,35624.00,31158.00,24212.46,27115.00,34604.00
"Irrigated Palay","..REGION IX (ZAMBOANGA PENINSULA)",25278.00,14476.45,30171.00,19232.95,30946.00,14778.20,29745.28,18592.04,27223.00,14972.53,33616.80,19320.22,32770.49,18166.38,33998.02,18173.20,29572.78,20241.15,33133.15,18171.71
"Irrigated Palay","..REGION X (NORTHERN MINDANAO)",36164.00,30516.00,39346.00,38627.00,38311.00,28203.00,40016.00,37542.00,39166.07,28933.58,41804.00,40309.08,39705.00,28642.00,41084.00,40379.00,40147.64,28863.08,39606.00,41875.00
"Irrigated Palay","..REGION XI (DAVAO REGION)",24761.70,17514.00,23690.00,23217.00,25959.48,18861.00,25294.10,23676.00,27647.00,18537.00,26938.19,23331.00,29041.98,18083.57,26780.51,23176.00,26670.08,19978.87,28653.12,22747.20
"Irrigated Palay","..REGION XII (SOCCSKSARGEN)",91852.00,23020.98,76143.84,71815.00,95813.00,20794.98,86309.73,68957.00,93144.22,25167.52,80859.00,69410.00,90302.00,26261.99,80578.99,70630.00,89057.99,20471.04,80642.99,70235.99
"Irrigated Palay","..REGION XIII (CARAGA)",6018.30,43864.00,14044.00,33320.51,6112.00,43110.00,5487.00,33715.00,6834.00,44352.00,11066.77,29298.98,10774.00,46811.00,11399.00,29124.00,11056.00,45111.00,11685.00,29819.00
