"Ecosystem/Croptype","Geolocation","2020 Quarter 1","2020 Quarter 2","2020 Quarter 3","2020 Quarter 4","2021 Quarter 1","2021 Quarter 2","2021 Quarter 3","2021 Quarter 4","2022 Quarter 1","2022 Quarter 2","2022 Quarter 3","2022 Quarter 4","2023 Quarter 1","2023 Quarter 2","2023 Quarter 3","2023 Quarter 4","2024 Quarter 1","2024 Quarter 2","2024 Quarter 3","2024 Quarter 4"
"Irrigated Palay","..CORDILLERA ADMINISTRATIVE REGION (CAR)",30845.73,107824.42,86947.66,90826.74,34528.78,110046.21,61484.82,111118.45,27974.61,105528.27,49979.00,105080.28,27916.82,109352.10,42232.84,106918.32,25193.71,88328.21,43479.58,95175.05
"Irrigated Palay","..REGION I (ILOCOS REGION)",330328.85,163467.00,161482.00,729834.00,321291.00,186987.60,149625.00,721837.00,323889.00,182757.27,162454.00,735974.57,320523.00,180361.89,157971.77,762491.50,314688.74,176071.00,163261.50,749351.83
"Irrigated Palay","..REGION II (CAGAYAN VALLEY)",534440.00,748534.00,331399.00,835265.00,562062.62,884539.92,387499.99,846556.00,558584.56,881521.40,420627.14,829067.72,603404.83,847761.47,468164.61,832554.36,701179.90,685383.36,444902.61,823123.00
"Irrigated Palay","..REGION III (CENTRAL LUZON)",659495.67,1101887.33,322867.81,1337142.73,695626.50,1033118.07,377226.39,1449292.27,768658.28,1133641.14,312055.73,1282095.90,863888.86,1091171.05,372460.12,1200622.34,774853.43,1063342.80,354391.00,1184151.20
"Irrigated Palay","..REGION IV-A (CALABARZON)",61443.82,112941.13,30348.60,100943.00,67111.94,111741.98,34528.85,106403.20,71912.00,113019.33,32075.16,93315.57,66401.09,133363.39,31089.80,118071.16,53814.26,117304.75,23050.22,60877.68
"Irrigated Palay","..MIMAROPA REGION",199001.76,192237.68,90424.00,384360.66,205028.00,196946.00,97699.36,380281.38,201003.15,186200.83,101558.58,385635.40,198640.11,178170.31,105210.96,407456.99,174548.52,165859.05,95209.16,405258.80
"Irrigated Palay","..REGION V (BICOL REGION)",175217.91,261435.78,186105.23,284309.55,195075.27,283139.96,187991.48,306991.66,188383.72,265489.00,185295.75,300125.00,183169.24,257890.65,184542.74,297438.11,185589.19,253425.79,173573.16,246846.74
"Irrigated Palay","..REGION VI (WESTERN VISAYAS)",297740.21,76921.39,375294.00,354406.08,319142.00,94450.28,392107.33,326495.80,305239.84,84166.03,409406.61,312365.73,321423.72,75420.98,360235.59,358553.02,306662.74,61492.61,211120.10,353608.35
"Irrigated Palay","..REGION VII (CENTRAL VISAYAS)",48983.00,31932.70,14563.00,86700.00,64549.00,35547.00,19216.00,79822.00,47205.00,22366.63,20888.39,79044.28,56082.00,41056.63,24574.12,78828.10,59792.41,35298.30,17153.42,100205.87
"Irrigated Palay","..REGION VIII (EASTERN VISAYAS)",134082.64,168112.92,62027.85,162744.08,132351.42,122908.64,112630.04,145328.83,132325.95,98986.50,104547.05,153127.89,132882.27,108100.13,105915.12,150360.17,135025.22,101040.92,112948.55,147964.00
"Irrigated Palay","..REGION IX (ZAMBOANGA PENINSULA)",108802.14,66922.33,139010.59,88095.33,140915.93,64329.88,141083.26,83346.91,120640.70,63077.17,153016.47,82393.24,144867.93,83953.65,156166.46,74452.97,129392.03,85801.54,154442.38,77171.25
"Irrigated Palay","..REGION X (NORTHERN MINDANAO)",158481.64,138472.75,205616.88,194150.40,178692.23,131570.94,203790.00,195142.10,171918.25,136090.45,208866.95,204039.39,174102.40,136382.34,209953.82,204146.51,166193.95,125645.09,191853.57,220748.59
"Irrigated Palay","..REGION XI (DAVAO REGION)",119738.75,79508.69,115128.04,107941.54,120400.16,81122.99,121615.99,115059.22,125746.42,76448.06,130005.62,110745.79,136506.09,81239.38,127374.14,110954.44,122740.72,84817.22,141257.71,109513.32
"Irrigated Palay","..REGION XII (SOCCSKSARGEN)",345961.67,81162.94,342049.00,290577.26,350007.24,71248.98,390726.00,255638.87,328666.99,85060.48,364139.98,265403.99,336377.00,86719.99,342403.98,282748.20,326088.16,55714.99,347780.99,276509.00
"Irrigated Palay","..REGION XIII (CARAGA)",20865.72,153364.62,48434.34,111977.32,18965.05,149386.22,18302.67,110372.20,21560.70,148836.00,38406.44,103581.78,34516.00,158320.00,40662.53,106559.06,37808.40,163322.00,42945.55,113837.00
"Irrigated Palay","..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)",42297.00,31266.08,62653.72,54421.50,63715.98,31914.80,63596.50,42781.07,81980.00,35635.71,65967.38,42888.50,84409.62,59841.57,82068.44,62303.01,85203.89,54886.73,86744.64,73719.66
"Rainfed Palay","..CORDILLERA ADMINISTRATIVE REGION (CAR)",50.60,4941.62,8207.60,46829.11,585.64,2868.70,5954.83,50545.92,885.52,3577.74,8293.39,36748.65,767.20,3442.50,6071.41,34768.47,680.76,7422.66,6537.00,32583.14
"Rainfed Palay","..REGION I (ILOCOS REGION)",1092.00,0.00,27534.00,488924.00,1068.00,0.00,27538.00,493996.00,2522.00,0.00,29747.60,528027.93,2478.00,135.00,29636.04,536689.49,1335.00,0.00,29610.00,532816.38
"Rainfed Palay","..REGION II (CAGAYAN VALLEY)",60210.96,62111.00,5383.25,68433.57,68629.94,71961.32,3403.65,85297.04,57732.62,63691.46,6233.17,110707.63,54231.16,97573.02,8178.61,114219.56,53652.62,86574.85,7783.00,120117.21
"Rainfed Palay","..REGION III (CENTRAL LUZON)",3862.00,834.00,29234.10,179823.95,3417.00,8572.80,23753.76,150203.74,4197.00,1246.00,21136.84,93681.50,3195.00,981.00,18306.15,87806.75,790.24,688.82,14566.00,89700.92
"Rainfed Palay","..REGION IV-A (CALABARZON)",20165.86,22307.28,10069.41,28700.84,25381.31,23531.04,4864.77,36352.00,27340.00,25045.83,4824.39,28366.42,26834.56,25718.20,5602.61,26318.61,21717.10,11395.35,4838.29,18061.41
"Rainfed Palay","..MIMAROPA REGION",71178.00,20806.38,28816.00,196324.84,71252.00,27124.00,35117.20,211835.27,70977.33,33169.52,37671.18,215596.70,72616.23,32608.47,39394.10,176286.89,72706.90,27937.84,35789.42,180556.01
"Rainfed Palay","..REGION V (BICOL REGION)",79638.70,115379.39,38191.43,154713.13,79999.30,98745.99,37150.10,157858.69,96364.23,97081.54,36329.01,159936.15,94872.10,100510.15,34782.69,149443.30,98339.38,79375.76,30718.00,134211.33
"Rainfed Palay","..REGION VI (WESTERN VISAYAS)",334895.64,44275.00,369432.79,442614.64,340236.00,64772.00,421237.49,398461.54,341048.64,50452.73,442083.53,376830.61,345597.17,54054.96,366406.41,381466.49,341473.17,21326.57,130723.86,464960.72
"Rainfed Palay","..REGION VII (CENTRAL VISAYAS)",15889.00,6362.08,1445.00,54649.00,28184.00,13492.00,2515.00,46177.00,19507.42,9476.20,3854.72,40051.93,25039.79,16054.63,3470.81,47967.30,31306.35,13689.75,2165.14,56962.40
"Rainfed Palay","..REGION VIII (EASTERN VISAYAS)",118786.72,123389.60,48513.24,109438.20,137501.59,61439.58,52852.18,99360.85,129541.96,58423.31,57526.92,105865.07,126820.64,63054.30,57145.85,100093.98,126650.37,55063.90,55871.56,93370.57
"Rainfed Palay","..REGION IX (ZAMBOANGA PENINSULA)",54132.30,21262.02,60914.92,106267.41,60386.62,19220.75,57562.33,100509.18,50896.78,18372.24,55167.98,108131.95,63409.14,16687.91,66241.46,98084.79,59404.91,12309.39,56472.76,107250.55
"Rainfed Palay","..REGION X (NORTHERN MINDANAO)",14586.11,7712.66,38331.62,24472.92,16814.57,8148.89,38223.00,21258.58,16322.26,10461.25,45628.24,21411.79,17108.30,11329.00,45514.20,25704.84,16263.25,12651.37,42430.77,38294.65
"Rainfed Palay","..REGION XI (DAVAO REGION)",9414.06,11461.76,12152.85,11418.00,10910.53,10700.81,13186.22,11728.66,11964.21,10940.82,12799.20,11603.93,10750.04,11043.57,12690.59,12186.34,9920.43,11305.82,13931.52,14921.17
"Rainfed Palay","..REGION XII (SOCCSKSARGEN)",49321.16,5965.27,65397.16,83682.24,60406.00,6981.99,69977.02,73202.00,49836.99,6424.40,66156.62,78588.44,60831.00,7721.99,65147.99,74455.74,60277.87,4596.99,62870.54,78886.60
"Rainfed Palay","..REGION XIII (CARAGA)",5802.96,106755.98,12959.50,43170.44,6387.62,107673.61,10286.83,46369.30,5722.59,112384.44,12271.74,77417.34,7962.00,103247.00,12985.14,79179.29,9475.50,111800.00,13451.56,81452.71
"Rainfed Palay","..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)",154690.12,55677.61,185411.61,138675.73,246296.27,58706.98,189988.18,147953.83,180706.56,82843.29,190585.64,145270.50,181164.53,74129.41,215256.17,136390.13,182270.98,71449.64,217305.00,145386.64
"Palay","..CORDILLERA ADMINISTRATIVE REGION (CAR)",30896.33,112766.04,95155.26,137655.85,35114.42,112914.91,67439.65,161664.37,28860.12,109106.01,58272.38,141828.93,28684.02,112794.60,48304.25,141686.79,25874.47,95750.87,50016.58,127758.20
"Palay","..REGION I (ILOCOS REGION)",331420.85,163467.00,189016.00,1218758.00,322359.00,186987.60,177163.00,1215833.00,326411.00,182757.27,192201.60,1264002.50,323001.00,180496.89,187607.80,1299180.99,316023.74,176071.00,192871.50,1282168.22
"Palay","..REGION II (CAGAYAN VALLEY)",594650.96,810645.00,336782.25,903698.57,630692.56,956501.24,390903.64,931853.04,616317.18,945212.86,426860.31,939775.35,657635.99,945334.49,476343.22,946773.92,754832.52,771958.21,452685.61,943240.21
"Palay","..REGION III (CENTRAL LUZON)",663357.67,1102721.33,352101.91,1516966.68,699043.50,1041690.87,400980.15,1599496.01,772855.28,1134887.14,333192.57,1375777.40,867083.86,1092152.05,390766.27,1288429.09,775643.67,1064031.62,368957.00,1273852.11
"Palay","..REGION IV-A (CALABARZON)",81609.68,135248.40,40418.01,129643.84,92493.25,135273.01,39393.62,142755.20,99252.00,138065.16,36899.55,121681.98,93235.65,159081.59,36692.41,144389.77,75531.36,128700.10,27888.51,78939.09
"Palay","..MIMAROPA REGION",270179.76,213044.06,119240.00,580685.50,276280.00,224070.00,132816.56,592116.65,271980.48,219370.34,139229.76,601232.10,271256.34,210778.78,144605.06,583743.88,247255.42,193796.89,130998.59,585814.81
"Palay","..REGION V (BICOL REGION)",254856.61,376815.17,224296.66,439022.68,275074.57,381885.95,225141.59,464850.34,284747.95,362570.54,221624.77,460061.15,278041.34,358400.80,219325.43,446881.41,283928.57,332801.55,204291.16,381058.07
"Palay","..REGION VI (WESTERN VISAYAS)",632635.85,121196.39,744726.79,797020.72,659378.00,159222.28,813344.82,724957.34,646288.48,134618.76,851490.14,689196.34,667020.89,129475.94,726642.00,740019.50,648135.91,82819.18,341843.96,818569.07
"Palay","..REGION VII (CENTRAL VISAYAS)",64872.00,38294.78,16008.00,141349.00,92733.00,49039.00,21731.00,125999.00,66712.42,31842.83,24743.11,119096.21,81121.79,57111.26,28044.93,126795.40,91098.76,48988.05,19318.56,157168.27
"Palay","..REGION VIII (EASTERN VISAYAS)",252869.36,291502.52,110541.09,272182.28,269853.02,184348.22,165482.22,244689.68,261867.91,157409.81,162073.97,258992.96,259702.91,171154.43,163060.97,250454.15,261675.59,156104.83,168820.11,241334.57
